Species	F1	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F2	F3	F4	F5	F6	F7	F8	F9	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S4	S5	S6	S7	S8	S9
K__Archaea;P__Methanobacteriota;C__Methanobacteria;O__Methanobacteriales;F__Methanobacteriaceae;G__Methanobacterium;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1281.0	240.0	0.0	2096.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Prevotellaceae;G__Hoylesella;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.0	134.0	545.0	156.0	118.0	28.0	1403.0	369.0	1428.0	230.0	291.0	150.0	2050.0	661.0	744.0	42.0	983.0	1261.0	0.0	2305.0	2207.0	59.0	187.0	512.0	151.0	40.0	299.0	700.0	48.0
K__Bacteria;P__Spirochaetota;C__Spirochaetia;O__Spirochaetales;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	23.0	10.0	7.0	117.0	55.0	14.0	0.0	89.0	158.0	58.0	94.0	458.0	18.0	103.0	652.0	66.0	0.0	0.0	4.0	2.0	29.0	0.0	4.0
K__Bacteria;P__Bacillota;C__Negativicutes;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0
K__Bacteria;P__Spirochaetota;C__Spirochaetia;O__Spirochaetales;F__Breznakiellaceae;G__Zuelzera;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Spirochaetota;C__Spirochaetia;O__Spirochaetales;F__Spirochaetaceae;G__Spirochaeta;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	12.0	0.0	0.0	0.0	10.0	15.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Spirochaetota;C__Spirochaetia;O__Spirochaetales;F__Spirochaetaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Cyanobacteriota;C__Cyanophyceae;__;__;__;__	0.0	25.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	74.0	367.0	0.0	0.0	0.0	235.0	55.0	808.0	0.0	93.0	54.0	6.0	0.0	0.0	181.0	0.0	0.0	13.0	88.0	446.0	0.0	104.0	9.0	0.0	0.0
K__Bacteria;P__Myxococcota;C__;O__Polyangiales;F__Polyangiaceae;G__Chondromyces;__	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Planctomycetota;C__Planctomycetia;O__Isosphaerales;F__Isosphaeraceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacteroidota;__;__;__;__;__	100.0	5.0	112.0	0.0	568.0	14.0	142.0	297.0	66.0	1788.0	44.0	0.0	0.0	24.0	707.0	0.0	13.0	6.0	34.0	67.0	0.0	0.0	0.0	10.0	9.0	3.0	49.0	7.0	152.0	76.0	9.0	2.0	358.0	870.0	10.0	181.0	85.0	4.0	35.0	562.0	145.0	192.0	532.0	0.0	0.0	0.0	0.0	2.0
K__Bacteria;P__Cyanobacteriota;C__Cyanophyceae;O__Oscillatoriales;F__Microcoleaceae;G__Microcoleus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	3.0	0.0
K__Bacteria;P__Actinomycetota;C__Actinomycetes;O__Micromonosporales;F__Micromonosporaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Eubacteriales;F__Oscillospiraceae;G__Oscillibacter;S__Oscillibacter massiliensis strain Marseille-P2778	17.0	308.0	1004.0	503.0	38.0	0.0	60.0	25.0	41.0	34.0	3.0	15.0	12.0	4.0	39.0	0.0	39.0	2.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Bacilli;O__Bacillales;__;__;__	0.0	0.0	2.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	16.0	0.0	22.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Moraxellales;F__Moraxellaceae;G__Faucicola;S__Faucicola mancuniensis strain GVCNT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	452.0	4.0	0.0	0.0	0.0	2765.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	69.0	10.0	67.0	34.0	22.0	129.0	0.0	15.0	37.0	281.0	34.0	77.0	22.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Pseudomonadales;F__Pseudomonadaceae;G__Pseudomonas;__	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;__;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	260.0	11.0	22.0	156.0	0.0	80.0	3.0	30.0	170.0	38.0	0.0	61.0	181.0	21.0	104.0	56.0	0.0	17.0	2.0	10.0	18.0	129.0	90.0	72.0	48.0	18.0	21.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Moraxellales;F__Moraxellaceae;G__Acinetobacter;S__Acinetobacter seifertii strain LUH 1472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Myxococcota;C__Myxococcia;O__Myxococcales;F__Archangiaceae;__;__	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Myxococcota;C__Myxococcia;O__Myxococcales;F__Myxococcaceae;G__Simulacricoccus;S__Simulacricoccus ruber strain MCy10636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Moraxellales;F__Moraxellaceae;G__Acinetobacter;S__Acinetobacter oryzae strain B23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Verrucomicrobiota;C__Verrucomicrobiia;O__Verrucomicrobiales;__;__;__	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Verrucomicrobiota;C__Verrucomicrobiia;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Mycoplasmatota;C__Mollicutes;O__Acholeplasmatales;F__Acholeplasmataceae;G__Alteracholeplasma;S__Alteracholeplasma parvum strain H23M	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Enterococcus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	30.0	0.0	0.0	81.0	74.0	60.0	52.0	5.0	44.0	170.0	69.0	0.0	77.0	0.0	61.0	184.0	0.0	0.0	66.0	0.0	51.0	50.0	0.0	59.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;__;__;__;__;__	72.0	71.0	67.0	586.0	1039.0	648.0	609.0	2198.0	336.0	457.0	1185.0	42.0	2.0	14.0	290.0	56.0	150.0	0.0	271.0	22.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	38.0	2.0	3.0	3.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	17.0	2.0	0.0	0.0	0.0	5.0	4.0	0.0	2.0
K__Archaea;P__Thermoproteota;C__Thermoprotei;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Unassigned;__;__;__;__;__;__	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	40.0	115.0	0.0	0.0	4.0	0.0	0.0	0.0	322.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Archaea;P__Candidatus Thermoplasmatota;C__;O__;F__;G__Candidatus Aciduliprofundum;S__Candidatus Aciduliprofundum boonei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Archaea;P__Methanobacteriota;C__Halobacteria;O__Halobacteriales;F__Natrialbaceae;G__Natronococcus;S__Natronococcus roseus strain CG-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Archaea;P__Methanobacteriota;C__Halobacteria;O__Halobacteriales;F__Natronoarchaeaceae;G__Natronoarchaeum;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Oceanospirillales;F__Alcanivoracaceae;G__Alloalcanivorax;S__Alloalcanivorax venustensis ISO4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Gammaproteobacteria;O__Alteromonadales;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;__;__;__;__	0.0	0.0	0.0	0.0	81.0	1068.0	65.0	50.0	1767.0	0.0	29.0	12.0	0.0	12.0	2561.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Rhodospirillales;__;__;__	0.0	0.0	0.0	0.0	0.0	511.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Hyphomicrobiales;__;__;__	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Hyphomicrobiales;F__Methylobacteriaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Hyphomicrobiales;F__Nitrobacteraceae;G__Bradyrhizobium;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Rhodospirillales;F__Acetobacteraceae;__;__	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Rhodospirillales;F__Acetobacteraceae;G__Belnapia;S__Belnapia soli strain PB-K8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Hyphomicrobiales;F__Methylobacteriaceae;G__Microvirga;__	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
K__Bacteria;P__Pseudomonadota;C__Alphaproteobacteria;O__Hyphomicrobiales;F__Methylobacteriaceae;G__Microvirga;S__Microvirga indica strain S-MI1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
